ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
308511	50	E	3	17		31.627	60.162	38.761062	-120.569835	3.134	ML	2	Sly Park Rd	1
308512	50	W	3	17		31.627	60.166	38.761182	-120.569866	5	ML	2	Sly Park Rd	1
311831	5	S	3	67		10.896	506.189	38.409782	-121.48412		OR	1	Elk Grove Blvd to 5SB Loop	1
311832	5	S	3	67		10.896	506.189	38.409782	-121.48412		FR	1	5SB to Elk Grove Blvd	1
311844	5	N	3	67		11.08	506.373	38.412421	-121.484289		OR	2	Elk Grove Blvd 5NB Slip	1
311847	5	N	3	67		12.185	507.478	38.428258	-121.487578		OR	3	Laguna Blvd to 5NB Slip	1
311864	5	N	3	67		11.933	507.226	38.424648	-121.486808		FR	1	5NB to Laguna Blvd	1
311903	50	E	3	67	64000	L0.633	3.789	38.566906	-121.505888	.883	ML	3	50EB at 6TH Street	1
311930	50	E	3	67	64000	L0.632	3.788	38.566911	-121.505906		FF	3	5NB and 5SB to 50EB	1
311973	50	E	3	67	64000	L1.22	4.376	38.564153	-121.495585		OR	1	13th St	1
311974	50	E	3	67	64000	L1.22	4.376	38.564153	-121.495585	.466	ML	5	15th St	1
312009	50	E	3	67	64000	L1.22	4.376	38.564153	-121.495585		FR	2	15th St	1
312010	50	W	3	67	64000	L1.345	4.501	38.563816	-121.493316	.752	ML	5	15th St	1
312011	50	W	3	67	64000	L1.345	4.501	38.563816	-121.493316		OR	2	15th St	1
312012	50	W	3	67	64000	L1.345	4.501	38.563816	-121.493316		FR	1	10th St	1
312098	50	E	3	67	64000	L2.34	5.496	38.55902	-121.476106	.483	ML	4	28th St	1
312099	50	E	3	67	64000	L2.34	5.496	38.55902	-121.476106		OR	1	28th St	1
312103	50	W	3	67	64000	R0.587	6.221	38.560995	-121.462999	1.157	ML	4	Stockton Blvd	1
312104	50	W	3	67	64000	R0.587	6.221	38.560995	-121.462999		OR	1	Stockton Blvd	1
312105	50	W	3	67	64000	R0.587	6.221	38.560995	-121.462999		FR	2	Stockton Blvd	1
312108	50	W	3	67	64000	L2.34	5.496	38.559248	-121.476019		FR	1	26th St	1
312132	5	S	3	67		10.896	506.189	38.409782	-121.48412	1.347	ML	2	5SB at Elk Grove Blvd	1
312133	5	N	3	67		12.183	507.476	38.428229	-121.487572	.823	ML	3	5NB at Laguna Blvd	1
312134	5	N	3	67		11.08	506.373	38.412421	-121.484289	1.342	ML	2	5NB at Elk Grove Blvd	1
312139	50	E	3	67	64000	L1.566	4.722	38.562537	-121.489577	.454	ML	5	16th St	1
312141	50	E	3	67	64000	L1.566	4.722	38.562537	-121.489577		OR	2	16th St	1
312142	50	W	3	67	64000	L1.566	4.722	38.562774	-121.48948		FR	2	16th St	1
312188	50	W	3	67	64000	R2.531	8.165	38.551104	-121.429758	.258	ML	4	50WB at 65TH ST	1
